web-scraper-order,web-scraper-start-url,category,category-href,title
"1523068196-2254","https://www.zalora.com.my/women/clothing/?from=header","Jackets & Coats","https://www.zalora.com.my/women/clothing/jackets-and-coats/?from=header",""
"1523068228-2885","https://www.zalora.com.my/women/clothing/?from=header","Jeans","https://www.zalora.com.my/women/clothing/jeans/?from=header",""
"1523068206-2479","https://www.zalora.com.my/women/clothing/?from=header","Hoodies & Sweatshirts","https://www.zalora.com.my/women/clothing/sweaters/?from=header",""
"1523068201-2391","https://www.zalora.com.my/women/clothing/?from=header","Blazers","https://www.zalora.com.my/women/clothing/blazers/?from=header",""
"1523068243-3167","https://www.zalora.com.my/women/clothing/?from=header","Skirts","https://www.zalora.com.my/women/clothing/skirts/?from=header",""
"1523068248-3275","https://www.zalora.com.my/women/clothing/?from=header","Tops","https://www.zalora.com.my/women/clothing/fashion-tops/?from=header",""
"1523068228-2838","https://www.zalora.com.my/women/clothing/?from=header","Jeans","https://www.zalora.com.my/women/clothing/jeans/?from=header",""
"1523068196-2230","https://www.zalora.com.my/women/clothing/?from=header","Jackets & Coats","https://www.zalora.com.my/women/clothing/jackets-and-coats/?from=header",""
"1523068171-1760","https://www.zalora.com.my/women/clothing/?from=header","Maternity","https://www.zalora.com.my/women/clothing/maternity/?from=header",""
"1523068171-1750","https://www.zalora.com.my/women/clothing/?from=header","Maternity","https://www.zalora.com.my/women/clothing/maternity/?from=header",""
"1523068215-2702","https://www.zalora.com.my/women/clothing/?from=header","Modern Ethnic Wear","https://www.zalora.com.my/women/clothing/traditional/?from=header",""
"1523068180-1944","https://www.zalora.com.my/women/clothing/?from=header","Plus Size","https://www.zalora.com.my/women/clothing/plus-size/?from=header",""
"1523068196-2257","https://www.zalora.com.my/women/clothing/?from=header","Jackets & Coats","https://www.zalora.com.my/women/clothing/jackets-and-coats/?from=header",""
"1523068248-3270","https://www.zalora.com.my/women/clothing/?from=header","Tops","https://www.zalora.com.my/women/clothing/fashion-tops/?from=header",""
"1523068180-1995","https://www.zalora.com.my/women/clothing/?from=header","Plus Size","https://www.zalora.com.my/women/clothing/plus-size/?from=header",""
